#options: 300x532 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=20.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:26.03 aq:20.85 tex:52561 mv:11960 misc:127 imb:646 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:26.03 aq:20.87 tex:35505 mv:6051 misc:196 imb:330 pmb:305 smb:11 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:26.03 aq:20.67 tex:23740 mv:7193 misc:347 imb:185 pmb:410 smb:51 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:26.03 aq:20.23 tex:313 mv:104 misc:271 imb:1 pmb:26 smb:619 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:26.03 aq:22.97 tex:7745 mv:4578 misc:621 imb:50 pmb:384 smb:212 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:26.03 aq:19.09 tex:45845 mv:6054 misc:237 imb:354 pmb:276 smb:16 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:26.03 aq:22.23 tex:8256 mv:4573 misc:611 imb:64 pmb:394 smb:188 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:26.03 aq:20.03 tex:36745 mv:5677 misc:242 imb:337 pmb:277 smb:32 d:- ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:26.03 aq:21.93 tex:10623 mv:5218 misc:607 imb:80 pmb:414 smb:152 d:- ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:26.03 aq:18.70 tex:718 mv:366 misc:508 imb:1 pmb:115 smb:530 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:26.03 aq:22.25 tex:10077 mv:5156 misc:583 imb:78 pmb:416 smb:152 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:26.03 aq:21.44 tex:36453 mv:5876 misc:231 imb:309 pmb:315 smb:22 d:- ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:26.03 aq:20.40 tex:15410 mv:6091 misc:507 imb:75 pmb:450 smb:121 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:26.03 aq:19.43 tex:379 mv:110 misc:351 imb:0 pmb:51 smb:595 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:26.03 aq:23.12 tex:8486 mv:4860 misc:646 imb:51 pmb:358 smb:237 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:26.03 aq:20.31 tex:52604 mv:5828 misc:248 imb:327 pmb:283 smb:36 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:26.03 aq:23.32 tex:13642 mv:5712 misc:574 imb:110 pmb:369 smb:167 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:26.03 aq:21.41 tex:59599 mv:5749 misc:188 imb:404 pmb:231 smb:11 d:- ref:0 ;
